Unix	jday	Pressure
1202716800	42	99843.0985931384
1202720400	42	99914.8365261918
1202724000	42	99954.1460987754
1202727600	42	100004.836526192
1202731200	42	100064.065313848
1202734800	42	100123.570394796
1202738400	42	100144.341607141
1202742000	42	100162.684459015
1202745600	42	100193.651179724
1202749200	42	100215.389112778
1202752800	42	100264.617900434
1202756400	42	100304.341607141
1202760000	42	100343.651179724
1202763600	42	100404.422392068
1202767200	42	100434.422392068
1202770800	42	100464.422392068
1202774400	43	100524.422392068
1202778000	43	100553.374886431
1202781600	43	100592.684459015
1202785200	43	100592.603674087
1202788800	43	100553.294101504
1202792400	43	100541.55616845
1202796000	43	100550.508662813
1202799600	43	100540.589447741
1202803200	43	100542.327380794
1202806800	43	100580.589447741
1202810400	43	100570.589447741
1202814000	43	100559.541942104
1202817600	43	100539.461157176
1202821200	43	100489.184863883
1202824800	43	100437.44693083
1202828400	43	100397.44693083
1202832000	43	100358.413651539
1202835600	43	100309.461157176
1202839200	43	100290.23236952
1202842800	43	100308.413651539
1202846400	43	100326.399425193
1202850000	43	100297.170637537
1202853600	43	100217.861064953
1202857200	43	100138.551492369
1202860800	44	100037.009067681
1202864400	44	99948.4707074415
1202868000	44	99866.7327743881
1202871600	44	99766.6519894603
1202875200	44	99648.3899225138
1202878800	44	99558.309137586
1202882400	44	99448.5854308789
1202886000	44	99419.632936516
1202889600	44	99428.8617241719
1202893200	44	99410.8759505182
1202896800	44	99369.4143107578
1202900400	44	99328.7238833414
1202904000	44	99268.033455925
1202907600	44	99218.0334559251
1202911200	44	99148.0334559251
1202914800	44	99077.7571626321
1202918400	44	98998.4475900485
1202922000	44	98938.5283749763
1202925600	44	98779.2995873204
1202929200	44	98759.2995873204
1202932800	44	98738.4475900485
1202936400	44	98699.4143107578
1202940000	44	98650.1855231019
1202943600	44	98580.1855231019
1202947200	45	98520.5426013226
1202950800	45	98488.2520816833
1202954400	45	98397.4000844114
1202958000	45	98345.8576597231
1202961600	45	98259.2188023926
1202965200	45	98200.9227969364
1202968800	45	98267.1501632242
1202972400	45	98239.1643895705
1202976000	45	98260.4074035728
1202979600	45	98309.2220571052
1202983200	45	98318.5316296889
1202986800	45	98337.0699899284
1202990400	45	98395.332056875
1202994000	45	98345.2512719472
1202997600	45	98316.0224842913
1203001200	45	98293.5133388938
1203004800	45	98273.432553966
1203008400	45	98263.432553966
1203012000	45	98201.9709142055
1203015600	45	98271.3952102266
1203019200	45	98351.3952102265
1203022800	45	98421.4759951544
1203026400	45	98442.9376349148
1203030000	45	98463.6280623312
1203033600	46	98641.8901292777
1203037200	46	98632.5805566941
1203040800	46	98641.533051057
1203044400	46	98621.6138359848
1203048000	46	98611.533051057
1203051600	46	98611.533051057
1203055200	46	98658.7476123665
1203058800	46	98678.4713190736
1203062400	46	98708.7476123665
1203066000	46	98777.9764000224
1203069600	46	98749.0239056595
1203073200	46	98739.7143330758
1203076800	46	98700.7618387129
1203080400	46	98700.8426236407
1203084000	46	98709.7951180036
1203087600	46	98718.0571849502
1203091200	46	98699.8759029314
1203094800	46	98700.1521962243
1203098400	46	98821.8901292777
1203102000	46	98883.2139282078
1203105600	46	98962.4427158636
1203109200	46	99033.2139282078
1203112800	46	99113.9851405519
1203116400	46	99194.756352896
1203120000	47	99384.756352896
1203123600	47	99463.7088472589
1203127200	47	99513.7088472589
1203130800	47	99563.7088472589
1203134400	47	99603.432553966
1203138000	47	99642.3850483289
1203141600	47	99710.5663303477
1203145200	47	99791.3375426919
1203148800	47	99890.3708219826
1203152400	47	99981.0612493989
1203156000	47	100010.09452869
1203159600	47	100038.080302343
1203163200	47	99998.6899448318
1203166800	47	100019.461157176
1203170400	47	100070.508662813
1203174000	47	100118.77072976
1203177600	47	100127.723224123
1203181200	47	100127.723224123
1203184800	47	100035.904506141
1203188400	47	100066.871226851
1203192000	47	100095.052508869
1203195600	47	100065.662151358
1203199200	47	99967.2045760462
1203202800	47	99909.632936516
1203206400	48	99950.6804421531
1203210000	48	99912.0273584762
1203213600	48	99965.6647944386
1203217200	48	100094.617288802
1203220800	48	100250.070799664
1203224400	48	100365.328802162
1203228000	48	100483.095950058
1203231600	48	100564.719159674
1203235200	48	100645.490372018
1203238800	48	100764.799944602
1203242400	48	100815.490372018
1203246000	48	100866.261584362
1203249600	48	100896.180799434
1203253200	48	100875.214078725
1203256800	48	100865.294863653
1203260400	48	100885.985291069
1203264000	48	100905.985291069
1203267600	48	100935.985291069
1203271200	48	100897.723224123
1203274800	48	100988.218143174
1203278400	48	101038.218143174
1203282000	48	101077.527715757
1203285600	48	101108.218143174
1203289200	48	101128.989355518
1203292800	49	101266.560995048
1203296400	49	101278.793847153
1203300000	49	101278.713062225
1203303600	49	101278.022634809
1203307200	49	101298.022634809
1203310800	49	101327.332207392
1203314400	49	101367.251422464
1203318000	49	101407.251422464
1203321600	49	101465.789782704
1203325200	49	101527.527715757
1203328800	49	101575.789782704
1203332400	49	101607.608500685
1203336000	49	101647.527715757
1203339600	49	101658.298928102
1203343200	49	101666.560995048
1203346800	49	101666.560995048
1203350400	49	101655.513489411
1203354000	49	101646.48021012
1203357600	49	101657.170637537
1203361200	49	101697.251422464
1203364800	49	101716.203916827
1203368400	49	101726.203916827
1203372000	49	101726.894344244
1203375600	49	101715.846838607
1203379200	50	101777.58477166
1203382800	50	101724.79933297
1203386400	50	101665.489760386
1203390000	50	101635.408975458
1203393600	50	101624.718548042
1203397200	50	101613.947335698
1203400800	50	101654.223628991
1203404400	50	101644.994841335
1203408000	50	101675.766053679
1203411600	50	101707.503986732
1203415200	50	101727.58477166
1203418800	50	101738.632277297
1203422400	50	101798.632277297
1203426000	50	101818.632277297
1203429600	50	101809.598998006
1203433200	50	101808.90857059
1203436800	50	101788.90857059
1203440400	50	101778.827785662
1203444000	50	101758.137358246
1203447600	50	101776.399425193
1203451200	50	101776.399425193
1203454800	50	101757.089852609
1203458400	50	101726.042346972
1203462000	50	101685.075626262
1203465600	51	101688.194414149
1203469200	51	101645.766053679
1203472800	51	101597.423201804
1203476400	51	101547.423201804
1203480000	51	101487.342416877
1203483600	51	101436.65198946
1203487200	51	101365.799992188
1203490800	51	101357.123791118
1203494400	51	101368.861724172
1203498000	51	101409.909229809
1203501600	51	101438.528374976
1203505200	51	101459.575880613
1203508800	51	101480.347092957
1203512400	51	101478.609159904
1203516000	51	101478.609159904
1203519600	51	101479.380372248
1203523200	51	101479.380372248
1203526800	51	101479.380372248
1203530400	51	101421.118305302
1203534000	51	101460.23236952
1203537600	51	101520.23236952
1203541200	51	101571.003581864
1203544800	51	101581.694009281
1203548400	51	101572.465221625
1203552000	52	101521.498500915
1203555600	52	101493.236433969
1203559200	52	101490.531780206
1203562800	52	101499.679782934
1203566400	52	101488.989355518
1203570000	52	101488.218143174
1203573600	52	101410.922796936
1203577200	52	101431.003581864
1203580800	52	101481.084366792
1203584400	52	101530.036861155
1203588000	52	101520.036861155
1203591600	52	101491.694009281
1203595200	52	101529.346433739
1203598800	52	101519.265648811
1203602400	52	101479.265648811
1203606000	52	101437.527715757
1203609600	52	101408.494436467
1203613200	52	101377.527715757
1203616800	52	101328.575221394
1203620400	52	101309.265648811
1203624000	52	101318.989355518
1203627600	52	101317.941849881
1203631200	52	101239.679782934
1203634800	52	101168.632277297
1203638400	53	101147.665556588
1203642000	53	101056.975129171
1203645600	53	101006.894344244
1203649200	53	100926.894344244
1203652800	53	100857.58477166
1203656400	53	100767.58477166
1203660000	53	100640.370210351
1203663600	53	100581.417715988
1203667200	53	100570.450995278
1203670800	53	100560.370210351
1203674400	53	100509.598998006
1203678000	53	100448.827785662
1203681600	53	100389.794506372
1203685200	53	100349.023294027
1203688800	53	100317.285360974
1203692400	53	100287.204576046
1203696000	53	100237.204576046
1203699600	53	100176.237855337
1203703200	53	100066.237855337
1203706800	53	100035.466642993
1203710400	53	99995.1095647721
1203714000	53	99965.0287798443
1203717600	53	99904.9479949165
1203721200	53	99843.2100618631
1203724800	54	99640.8964248307
1203728400	54	99550.6201315378
1203732000	54	99462.3580645912
1203735600	54	99404.0959976446
1203739200	54	99304.8672099887
1203742800	54	99234.8672099887
1203746400	54	98956.110223991
1203750000	54	98925.4197965746
1203753600	54	98952.6343578841
1203757200	54	99009.8489191936
1203760800	54	98999.5726259007
1203764400	54	98969.6534108285
1203768000	54	98870.6201315378
1203771600	54	98820.3438382448
1203775200	54	98798.5251202636
1203778800	54	98767.7539079195
1203782400	54	98738.5251202636
1203786000	54	98720.3438382448
1203789600	54	98575.2242882095
1203793200	54	98597.2385145558
1203796800	54	98678.2860201929
1203800400	54	98745.7768747953
1203804000	54	98746.8243804324
1203807600	54	98756.8243804324
1203811200	55	98626.7435955046
1203814800	55	98626.2486764534
1203818400	55	98627.0198887976
1203822000	55	98598.3436877276
1203825600	55	98637.734045239
1203829200	55	98700.4386990017
1203832800	55	98670.5194839295
1203836400	55	98798.010338532
1203840000	55	98907.3199111156
1203843600	55	98977.0436178227
1203847200	55	98985.9961121856
1203850800	55	99025.0293914763
1203854400	55	98872.2439527858
1203858000	55	98924.7530981834
1203861600	55	98973.7055925463
1203865200	55	99014.4768048904
1203868800	55	99025.4435255997
1203872400	55	99034.8338831112
1203876000	55	98886.0768971134
1203879600	55	98937.0436178227
1203883200	55	98978.1719083876
1203886800	55	99051.533051057
1203890400	55	99130.3239755644
1203894000	55	99179.2764699273
1203897600	56	99188.1142408528
1203901200	56	99269.8521739063
1203904800	56	99340.6233862504
1203908400	56	99391.5901069597
1203912000	56	99440.5426013226
1203915600	56	99499.7713889785
1203919200	56	99489.0809615621
1203922800	56	99581.5093220319
1203926400	56	99705.1467579943
1203930000	56	99845.3083278499
1203933600	56	99955.3083278499
1203937200	56	100074.341607141
1203940800	56	100213.294101504
1203944400	56	100302.246595866
1203948000	56	100362.246595866
1203951600	56	100411.279875157
1203955200	56	100460.23236952
1203958800	56	100528.494436467
1203962400	56	100567.723224123
1203966000	56	100628.413651539
1203969600	56	100678.413651539
1203973200	56	100727.44693083
1203976800	56	100738.90857059
1203980400	56	100757.941849881
1203984000	57	100818.989355518
1203987600	57	100838.632277297
1203991200	57	100808.355984004
1203994800	57	100789.046411421
1203998400	57	100808.355984004
1204002000	57	100837.58477166
1204005600	57	100866.042346972
1204009200	57	100906.237855337
1204012800	57	100947.285360974
1204016400	57	101006.594933558
1204020000	57	101036.594933558
1204023600	57	101077.561654267
1204027200	57	101097.918732488
1204030800	57	101107.83794756
1204034400	57	101126.952011778
1204038000	57	101146.952011778
1204041600	57	101168.689944832
1204045200	57	101198.689944832
1204048800	57	101105.985291069
1204052400	57	101157.723224123
1204056000	57	101187.723224123
1204059600	57	101208.413651539
1204063200	57	101207.44693083
1204066800	57	101188.137358246
1204070400	58	101147.861064953
1204074000	58	101128.632277297
1204077600	58	101108.355984004
1204081200	58	101090.093917058
1204084800	58	101080.174701985
1204088400	58	101090.174701985
1204092000	58	101152.188928332
1204095600	58	101212.188928332
1204099200	58	101291.498500915
1204102800	58	101361.579285843
1204106400	58	101362.546006552
1204110000	58	101362.62679148
1204113600	58	101361.855579136
1204117200	58	101342.822299845
1204120800	58	101332.822299845
1204124400	58	101302.051087501
1204128000	58	101271.084366792
1204131600	58	101250.313154448
1204135200	58	101229.265648811
1204138800	58	101239.265648811
1204142400	58	101228.494436467
1204146000	58	101220.151584592
1204149600	58	101158.137358246
1204153200	58	101089.875291299
1204156800	59	101047.861064953
1204160400	59	100987.861064953
1204164000	59	100947.780280025
1204167600	59	100907.699495097
1204171200	59	100839.713721444
1204174800	59	100819.023294027
1204178400	59	100768.528374976
1204182000	59	100810.542601323
1204185600	59	100879.771388978
1204189200	59	100928.114240853
1204192800	59	100899.080961562
1204196400	59	100888.033455925
1204200000	59	100837.066735216
1204203600	59	100826.019229579
1204207200	59	100826.019229579
1204210800	59	100786.709656995
1204214400	59	100766.790441923
1204218000	59	100756.790441923
1204221600	59	100637.066735216
1204225200	59	100688.804668269
1204228800	59	100717.757162632
1204232400	59	100716.709656995
1204236000	59	100665.938444651
1204239600	59	100614.890939014
1204243200	60	100585.662151358
1204246800	60	100546.628872067
1204250400	60	100506.628872067
1204254000	60	100438.366805121
1204257600	60	100388.447590048
1204261200	60	100350.26630803
1204264800	60	100440.26630803
1204268400	60	100470.62338625
1204272000	60	100592.522889159
1204275600	60	100681.394598595
1204279200	60	100650.508662813
1204282800	60	100609.461157176
1204286400	60	100668.494436467
1204290000	60	100527.089852609
1204293600	60	100436.594933558
1204297200	60	100435.547427921
1204300800	60	100355.547427921
1204304400	60	100277.089852609
1204308000	60	100189.956076227
1204311600	60	100179.265648811
1204315200	60	100141.498500915
1204318800	60	100097.861064953
1204322400	60	99957.7802800252
1204329600	61	99774.4191373557
1204333200	61	99634.9140564069
1204336800	61	99525.6044838233
1204340400	61	99387.1469085115
1204344000	61	99280.9798528391
1204347600	61	99173.5697831644
1204351200	61	99193.0748641133
1204354800	61	99113.8460764574
1204358400	61	99012.5799450621
1204362000	61	98902.0850260109
1204365600	61	98822.280534376
1204369200	61	98772.280534376
1204372800	61	98699.5758806133
1204376400	61	98691.4285371041
1204380000	61	98718.8046682692
1204383600	61	98697.2622435809
1204387200	61	98737.3430285087
1204390800	61	98828.1950257806
1204394400	61	98976.0429586038
1204398000	61	99065.8813887482
1204401600	61	99135.1909613319
1204405200	61	99206.3763077994
1204408800	61	99227.1475201436
1204412400	61	99251.4753835223
1204416000	62	99375.1128194847
